AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
30.0,0.0,5.0,0.0,4.0,11.0,12.0,9.0,8.0,2.0,2.0,3.0,10.0,0.0,0,Indians,Home
33.0,2.0,8.0,2.0,3.0,10.0,15.0,9.0,5.0,0.0,0.0,4.0,11.0,0.0,1,White,Away
33.0,5.0,9.0,4.0,3.0,6.0,16.0,9.0,10.0,4.0,2.0,2.0,5.0,1.0,1,Yankees,Home
36.0,4.0,10.0,4.0,2.0,5.0,22.0,8.2,9.0,5.0,5.0,3.0,6.0,1.0,0,Mariners,Away
34.0,5.0,8.0,5.0,2.0,5.0,6.0,9.0,7.0,8.0,8.0,8.0,11.0,3.0,0,Orioles,Home
30.0,8.0,7.0,8.0,8.0,11.0,14.0,9.0,8.0,5.0,5.0,2.0,5.0,2.0,1,Red,Away
30.0,5.0,8.0,5.0,4.0,3.0,16.0,9.0,5.0,4.0,4.0,7.0,12.0,1.0,1,Pirates,Home
30.0,4.0,5.0,4.0,7.0,12.0,17.0,8.0,8.0,5.0,5.0,4.0,3.0,1.0,0,Rangers,Away
33.0,0.0,6.0,0.0,0.0,6.0,13.0,9.0,8.0,3.0,3.0,3.0,7.0,1.0,0,Blue,Home
34.0,3.0,8.0,3.0,3.0,7.0,15.0,9.0,6.0,0.0,0.0,0.0,6.0,0.0,1,Twins,Away
32.0,2.0,5.0,2.0,1.0,11.0,9.0,9.0,9.0,5.0,5.0,5.0,4.0,0.0,0,Tigers,Home
35.0,5.0,9.0,5.0,5.0,4.0,16.0,9.0,5.0,2.0,2.0,1.0,11.0,0.0,1,Angels,Away
35.0,6.0,12.0,5.0,2.0,4.0,17.0,9.0,7.0,3.0,3.0,2.0,11.0,2.0,1,Rays,Home
34.0,3.0,7.0,3.0,2.0,11.0,14.0,8.0,12.0,6.0,6.0,2.0,4.0,1.0,0,D-backs,Away
31.0,6.0,8.0,6.0,5.0,12.0,14.0,9.0,5.0,0.0,0.0,3.0,10.0,0.0,1,Brewers,Home
32.0,0.0,5.0,0.0,3.0,10.0,17.0,8.0,8.0,6.0,6.0,5.0,12.0,0.0,0,Nationals,Away
30.0,1.0,4.0,1.0,2.0,12.0,10.0,9.0,12.0,11.0,5.0,4.0,5.0,2.0,0,Cardinals,Home
38.0,11.0,12.0,10.0,4.0,5.0,16.0,9.0,4.0,1.0,1.0,2.0,12.0,1.0,1,Phillies,Away
30.0,5.0,7.0,5.0,5.0,12.0,12.0,9.0,9.0,2.0,0.0,0.0,12.0,0.0,1,Cubs,Home
37.0,2.0,9.0,2.0,0.0,12.0,18.0,8.2,7.0,5.0,5.0,5.0,12.0,2.0,0,Marlins,Away
31.0,2.0,7.0,2.0,3.0,8.0,13.0,9.0,13.0,12.0,12.0,4.0,5.0,3.0,0,Astros,Home
40.0,12.0,13.0,12.0,4.0,5.0,18.0,9.0,7.0,2.0,2.0,3.0,8.0,1.0,1,Royals,Away
36.0,4.0,10.0,4.0,3.0,11.0,17.0,9.0,16.0,14.0,14.0,5.0,6.0,3.0,0,Rockies,Home
41.0,14.0,16.0,14.0,5.0,6.0,12.0,9.0,10.0,4.0,4.0,3.0,11.0,2.0,1,Giants,Away
29.0,2.0,5.0,2.0,1.0,11.0,8.0,9.0,0.0,0.0,0.0,2.0,6.0,0.0,1,Athletics,Home
27.0,0.0,0.0,0.0,2.0,6.0,3.0,8.0,5.0,2.0,2.0,1.0,11.0,1.0,0,Reds,Away
33.0,9.0,11.0,9.0,3.0,5.0,14.0,9.0,4.0,0.0,0.0,0.0,6.0,0.0,1,Dodgers,Home
30.0,0.0,4.0,0.0,0.0,6.0,8.0,8.0,11.0,9.0,9.0,3.0,5.0,3.0,0,Braves,Away
37.0,6.0,12.0,5.0,4.0,9.0,15.0,9.0,12.0,7.0,7.0,5.0,12.0,1.0,0,Padres,Home
37.0,7.0,12.0,7.0,5.0,12.0,22.0,9.0,12.0,6.0,5.0,4.0,9.0,2.0,1,Mets,Away
